Id,Country/Region,Lat,Long,Date,ConfirmedCases,Fatalities
1,Afghanistan,33,65,22-01-2020,0,0
2,Afghanistan,33,65,23-01-2020,0,0
3,Afghanistan,33,65,24-01-2020,0,0
4,Afghanistan,33,65,25-01-2020,0,0
5,Afghanistan,33,65,26-01-2020,0,0
6,Afghanistan,33,65,27-01-2020,0,0
7,Afghanistan,33,65,28-01-2020,0,0
8,Afghanistan,33,65,29-01-2020,0,0
9,Afghanistan,33,65,30-01-2020,0,0
10,Afghanistan,33,65,31-01-2020,0,0
11,Afghanistan,33,65,01-02-2020,0,0
12,Afghanistan,33,65,02-02-2020,0,0
13,Afghanistan,33,65,03-02-2020,0,0
14,Afghanistan,33,65,04-02-2020,0,0
15,Afghanistan,33,65,05-02-2020,0,0
16,Afghanistan,33,65,06-02-2020,0,0
17,Afghanistan,33,65,07-02-2020,0,0
18,Afghanistan,33,65,08-02-2020,0,0
19,Afghanistan,33,65,09-02-2020,0,0
20,Afghanistan,33,65,10-02-2020,0,0
21,Afghanistan,33,65,11-02-2020,0,0
22,Afghanistan,33,65,12-02-2020,0,0
23,Afghanistan,33,65,13-02-2020,0,0
24,Afghanistan,33,65,14-02-2020,0,0
25,Afghanistan,33,65,15-02-2020,0,0
26,Afghanistan,33,65,16-02-2020,0,0
27,Afghanistan,33,65,17-02-2020,0,0
28,Afghanistan,33,65,18-02-2020,0,0
29,Afghanistan,33,65,19-02-2020,0,0
30,Afghanistan,33,65,20-02-2020,0,0
31,Afghanistan,33,65,21-02-2020,0,0
32,Afghanistan,33,65,22-02-2020,0,0
33,Afghanistan,33,65,23-02-2020,0,0
34,Afghanistan,33,65,24-02-2020,1,0
35,Afghanistan,33,65,25-02-2020,1,0
36,Afghanistan,33,65,26-02-2020,1,0
37,Afghanistan,33,65,27-02-2020,1,0
38,Afghanistan,33,65,28-02-2020,1,0
39,Afghanistan,33,65,29-02-2020,1,0
40,Afghanistan,33,65,01-03-2020,1,0
41,Afghanistan,33,65,02-03-2020,1,0
42,Afghanistan,33,65,03-03-2020,1,0
43,Afghanistan,33,65,04-03-2020,1,0
44,Afghanistan,33,65,05-03-2020,1,0
45,Afghanistan,33,65,06-03-2020,1,0
46,Afghanistan,33,65,07-03-2020,1,0
47,Afghanistan,33,65,08-03-2020,4,0
48,Afghanistan,33,65,09-03-2020,4,0
49,Afghanistan,33,65,10-03-2020,5,0
50,Afghanistan,33,65,11-03-2020,7,0
51,Afghanistan,33,65,12-03-2020,7,0
52,Afghanistan,33,65,13-03-2020,7,0
53,Afghanistan,33,65,14-03-2020,11,0
54,Afghanistan,33,65,15-03-2020,16,0
55,Afghanistan,33,65,16-03-2020,21,0
56,Afghanistan,33,65,17-03-2020,22,0
57,Afghanistan,33,65,18-03-2020,22,0
58,Afghanistan,33,65,19-03-2020,22,0
59,Afghanistan,33,65,20-03-2020,24,0
60,Afghanistan,33,65,21-03-2020,24,0
61,Afghanistan,33,65,22-03-2020,40,1
62,Afghanistan,33,65,23-03-2020,40,1
63,Afghanistan,33,65,24-03-2020,74,1
94,Albania,41.1533,20.1683,22-01-2020,0,0
95,Albania,41.1533,20.1683,23-01-2020,0,0
96,Albania,41.1533,20.1683,24-01-2020,0,0
97,Albania,41.1533,20.1683,25-01-2020,0,0
98,Albania,41.1533,20.1683,26-01-2020,0,0
99,Albania,41.1533,20.1683,27-01-2020,0,0
100,Albania,41.1533,20.1683,28-01-2020,0,0
101,Albania,41.1533,20.1683,29-01-2020,0,0
102,Albania,41.1533,20.1683,30-01-2020,0,0
103,Albania,41.1533,20.1683,31-01-2020,0,0
104,Albania,41.1533,20.1683,01-02-2020,0,0
105,Albania,41.1533,20.1683,02-02-2020,0,0
106,Albania,41.1533,20.1683,03-02-2020,0,0
107,Albania,41.1533,20.1683,04-02-2020,0,0
108,Albania,41.1533,20.1683,05-02-2020,0,0
109,Albania,41.1533,20.1683,06-02-2020,0,0
110,Albania,41.1533,20.1683,07-02-2020,0,0
111,Albania,41.1533,20.1683,08-02-2020,0,0
112,Albania,41.1533,20.1683,09-02-2020,0,0
113,Albania,41.1533,20.1683,10-02-2020,0,0
114,Albania,41.1533,20.1683,11-02-2020,0,0
